samples	genome	regions.CG	regions.C	regions.G	regions.relH	regions.GoGe	genome.C	genome.G	genome.CG	genome.relH	genome.GoGe	enrichment.score.relH	enrichment.score.GoGe	numberReadsCG	numberReadsWOCG	count0	count1	count10	count50	count100	maxEstCorReads	maxEstCor	maxTruCorReads	maxTruCor	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE	ACCUMULATION_LEVEL	WINDOW_SIZE	TOTAL_CLUSTERS	ALIGNED_READS	AT_DROPOUT	GC_DROPOUT	GC_NC_0_19	GC_NC_20_39	GC_NC_40_59	GC_NC_60_79	GC_NC_80_100	SAMPLE	LIBRARY.1	READ_GROUP	CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	SAMPLE.1	LIBRARY.2	READ_GROUP.1	total	unmap	methyl	unmeth	PCT_THALIANA	THALIANA_BETA	runid	project	miso_id	centre	sample_type	tissue_type
PROJECT_FARSCAPE_4042_41905	BSgenome.Hsapiens.UCSC.hg19	347077	3411381	3420943	2.511062139	0.411072236	591650798	592024269	28617896	0.914003014	0.255813117	2.747323696	1.606923997	45920	179	30839432	117353	254	24	8	45920	0.757119928	22960	0.574891842	Unknown Library	698	26376	0	9218	18	14	0	0.000861	24837399	All Reads	100	31334	53450	40.039541	0.209121	0.025609	0.317545	1.37014	4.462632	0.079143	NA	NA	NA	FIRST_OF_PAIR	31334	31334	1	0	26778	0.854599	3894601	21664	3159502	3054891	0	0.010504	0.004859	0.001192	146	26376	0.984988	0	0.50183	0.080577	3.20E-05	NA	NA	NA	62668	8520	383	0	0.6	1	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0038_Cf_U_PE_300_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4042_87782-2_INPUT	BSgenome.Hsapiens.UCSC.hg19	140856	2792915	2794468	1.058230553	0.240222425	591650798	592024269	28617896	0.914003014	0.255813117	1.157797662	0.939054369	44221	6650	30840697	116088	65	4	0	44221	0.585709932	22110	0.314941915	Unknown Library	560	25883	0	20284	13	1	0	0.000287	334956207	All Reads	100	36305	52326	5.565075	0.061379	0.287727	0.911949	1.085643	1.163956	0.889206	NA	NA	NA	FIRST_OF_PAIR	36305	36305	1	0	26238	0.72271	3812023	22442	3271858	3190696	0	0.008314	0.004263	0.001432	146	25883	0.98647	0	0.498895	0.096327	0.000937	NA	NA	NA	72610	19724	218	242	0.6	0.473	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0032_Cf_U_PE_311_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4042_91929_INPUT	BSgenome.Hsapiens.UCSC.hg19	154860	3088193	3095106	1.054013459	0.238041343	591650798	592024269	28617896	0.914003014	0.255813117	1.153183789	0.930528293	48812	7358	30828203	128582	84	4	0	48812	0.595134582	24406	0.327701714	Unknown Library	511	27955	0	19043	19	8	3	0.00062	78122112	All Reads	100	37732	56421	6.196292	0.075507	0.254737	0.899969	1.096004	1.190084	0.82474	NA	NA	NA	FIRST_OF_PAIR	37732	37732	1	0	28275	0.749364	4112130	24628	3591407	3500959	0	0.007688	0.004042	0.001184	146	27955	0.988683	0	0.495809	0.082814	0.00053	NA	NA	NA	75464	18532	234	250	0.6	0.483	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0034_Cf_U_PE_308_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4042_91933-2_INPUT	BSgenome.Hsapiens.UCSC.hg19	145870	2950745	2964774	1.028978364	0.236375494	591650798	592024269	28617896	0.914003014	0.255813117	1.125793185	0.924016316	47097	7335	30834128	122657	75	2	0	47097	0.583076719	23548	0.309562102	Unknown Library	441	25891	0	9331	19	6	3	0.000594	111689461	All Reads	100	30777	52223	4.856168	0.095809	0.267327	0.934107	1.070031	1.095595	0.890959	NA	NA	NA	FIRST_OF_PAIR	30777	30777	1	1	26158	0.84992	3809866	23310	3400366	3314942	0	0.006342	0.003393	0.000823	146	25891	0.989793	0	0.49935	0.053973	0.000357	NA	NA	NA	61554	8890	191	174	0.5	0.523	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0035_Cf_U_PE_310_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4042_92489_INPUT	BSgenome.Hsapiens.UCSC.hg19	135044	2744184	2751162	1.027437568	0.235107105	591650798	592024269	28617896	0.914003014	0.255813117	1.124107418	0.91905805	43667	6835	30842586	114199	61	4	0	43667	0.592589325	21833	0.32119485	Unknown Library	516	24838	0	14742	26	6	5	0.000757	308330669	All Reads	100	32467	50192	5.088953	0.111993	0.310886	0.923116	1.078853	1.11887	0.632092	NA	NA	NA	FIRST_OF_PAIR	32467	32467	1	0	25147	0.77454	3657183	21932	3198312	3118911	0	0.007292	0.003774	0.001166	146	24838	0.987712	0	0.500099	0.077243	0.000462	NA	NA	NA	64934	14226	160	186	0.5	0.462	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0040_Cf_U_PE_316_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4042_92490-1	BSgenome.Hsapiens.UCSC.hg19	297579	2914345	2936315	2.455563825	0.421414745	591650798	592024269	28617896	0.914003014	0.255813117	2.68660364	1.647353936	40261	208	30857179	99606	268	43	14	40261	0.86263439	20130	0.739966077	Unknown Library	670	22766	0	6560	20	28	2	0.001645	9957789	All Reads	100	26381	46202	32.559994	0.250161	0.047398	0.444978	1.321423	3.642064	0.137325	NA	NA	NA	FIRST_OF_PAIR	26381	26381	1	0	23157	0.877791	3372304	18619	2715969	2617200	0	0.010879	0.004792	0.000973	146	22766	0.983115	0	0.503519	0.056267	0	NA	NA	NA	52762	5890	298	0	0.5	1	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0039_Cf_U_PE_322_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4042_99693-1_INPUT	BSgenome.Hsapiens.UCSC.hg19	121449	2483456	2479771	1.017334535	0.235426883	591650798	592024269	28617896	0.914003014	0.255813117	1.113053807	0.920308097	39661	6182	30853143	103642	56	4	0	39661	0.586011341	19830	0.317021989	Unknown Library	373	22119	0	9749	9	6	5	0.000471	244507124	All Reads	100	27180	44611	4.10645	0.146634	0.288398	0.948539	1.058778	1.059118	0.758537	NA	NA	NA	FIRST_OF_PAIR	27180	27180	1	0	22359	0.822627	3254598	19808	2888965	2816256	0	0.006782	0.003616	0.000968	146	22119	0.989266	0	0.509817	0.071252	0.000405	NA	NA	NA	54360	9376	140	134	0.5	0.51	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0065_Cf_U_PE_317_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4042_43181	BSgenome.Hsapiens.UCSC.hg19	292337	3081421	3090498	2.267296828	0.395803551	591650798	592024269	28617896	0.914003014	0.255813117	2.480622922	1.547237124	42836	258	30849485	107300	272	30	9	42836	0.795290156	21418	0.633689141	Unknown Library	631	23820	0	5497	19	13	6	0.000932	40499675	All Reads	100	26884	48271	31.848646	0.290908	0.073724	0.438111	1.359873	3.329329	0.109539	NA	NA	NA	FIRST_OF_PAIR	26884	26884	1	0	24206	0.900387	3525830	20166	2941726	2833852	0	0.009441	0.004436	0.000912	146	23820	0.984054	0	0.502313	0.050997	0	NA	NA	NA	53768	4866	238	2	0.4	0.991	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0031_Cf_U_PE_320_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4042_93406-1	BSgenome.Hsapiens.UCSC.hg19	307501	3077210	3065409	2.428559898	0.412761025	591650798	592024269	28617896	0.914003014	0.255813117	2.65705896	1.613525647	42066	204	30852570	104215	298	36	11	42066	0.823227766	21033	0.671043842	Unknown Library	689	23632	0	6051	22	14	3	0.001043	25370743	All Reads	100	27002	47953	33.483359	0.262714	0.057087	0.420931	1.34045	3.698579	0.088212	NA	NA	NA	FIRST_OF_PAIR	27002	27002	1	0	24040	0.890304	3501388	19386	2828027	2724695	0	0.010296	0.004533	0.000944	146	23632	0.983028	0	0.505574	0.057504	0	NA	NA	NA	54004	5362	230	2	0.4	0.991	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0046_Cf_U_PE_318_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4042_41905_INPUT	BSgenome.Hsapiens.UCSC.hg19	138267	2810928	2821585	1.020230547	0.2362631	591650798	592024269	28617896	0.914003014	0.255813117	1.116222301	0.923576956	45025	7052	30837007	119778	65	4	0	45025	0.582811646	22512	0.315615375	Unknown Library	541	26175	0	9587	17	4	3	0.000473	342478067	All Reads	100	31239	52891	4.229243	0.147073	0.367482	0.936591	1.068778	1.072596	0.619828	NA	NA	NA	FIRST_OF_PAIR	31239	31239	1	0	26524	0.849067	3854350	22893	3337950	3256494	0	0.00825	0.004243	0.001413	146	26175	0.986842	0	0.498605	0.094015	0.000288	NA	NA	NA	62478	9046	94	104	0.3	0.474	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0038_Cf_U_PE_302_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4042_92490-1_INPUT	BSgenome.Hsapiens.UCSC.hg19	122772	2466926	2467786	1.036861047	0.238789092	591650798	592024269	28617896	0.914003014	0.255813117	1.134417536	0.933451321	39338	6085	30854303	102482	86	5	0	39338	0.608037252	19669	0.345076818	Unknown Library	442	21912	0	8220	13	2	2	0.000384	NA	All Reads	100	26243	44266	5.039692	0.0768	0.333948	0.936006	1.067856	1.088501	0.836153	NA	NA	NA	FIRST_OF_PAIR	26243	26243	1	0	22189	0.845521	3229222	19495	2843678	2774216	0	0.006983	0.003483	0.000998	146	21912	0.987516	0	0.499797	0.065956	0.000229	NA	NA	NA	52486	7778	67	106	0.3	0.387	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0039_Cf_U_PE_316_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4042_43181_INPUT	BSgenome.Hsapiens.UCSC.hg19	121708	2544091	2553953	0.984839406	0.231487365	591650798	592024269	28617896	0.914003014	0.255813117	1.077501267	0.904908114	41057	6726	30849512	107273	53	4	0	41057	0.590712183	20528	0.321938233	Unknown Library	409	22730	0	14787	7	11	6	0.000632	51630442	All Reads	100	30328	45869	3.02721	0.319336	0.426719	0.972242	1.037335	1.011159	0.599434	NA	NA	NA	FIRST_OF_PAIR	30328	30328	1	0	22997	0.758276	3348088	20513	2992211	2917978	0	0.006437	0.00339	0.000926	146	22730	0.98839	0	0.50324	0.060843	0.000626	NA	NA	NA	60656	14378	51	76	0.2	0.401	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0031_Cf_U_PE_314_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4042_93406-1_INPUT	BSgenome.Hsapiens.UCSC.hg19	134473	2648481	2643263	1.072742047	0.240789556	591650798	592024269	28617896	0.914003014	0.255813117	1.173674518	0.941271342	41646	6314	30848615	108170	81	4	0	41646	0.602148219	20823	0.330554917	Unknown Library	459	23045	0	12665	10	9	7	0.000602	132679682	All Reads	100	29607	46549	7.014746	0.039349	0.285218	0.880045	1.117354	1.17951	0.726971	NA	NA	NA	FIRST_OF_PAIR	29607	29607	1	0	23340	0.788327	3398115	20531	2994661	2914321	0	0.007049	0.003699	0.000925	146	23045	0.987361	0	0.502228	0.06483	0.000574	NA	NA	NA	59214	12206	54	44	0.1	0.551	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0046_Cf_U_PE_315_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4534-B	BSgenome.Hsapiens.UCSC.hg19	196682	2189483	2195323	2.158881195	0.372786763	591650798	592024269	28617896	0.914003014	0.255813117	2.362006648	1.457262113	30267	326	30878877	77908	132	10	1	30267	0.666516412	15133	0.431119829	Unknown Library	434	18012	0	15980	6	8	4	0.000603	40530005	All Reads	100	26219	36458	32.771121	0.225659	0.037541	0.402087	1.377412	3.528926	0.087014	NA	NA	NA	FIRST_OF_PAIR	26219	26219	1	0	18282	0.697281	2658512	15207	2217706	2152030	0	0.009192	0.004486	0.001223	146	18012	0.985231	0	0.503774	0.084735	3.80E-05	NA	NA	NA	52438	15546	1930	62	3.7	0.968	190826_M00146_0089_000000000-D4FL7	PROJECT_ZED	PROJECT_ZED_0019_Cf_U_PE_309_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4743	BSgenome.Hsapiens.UCSC.hg19	173164	1916238	1923540	2.152408265	0.377954828	591650798	592024269	28617896	0.914003014	0.255813117	2.35492469	1.477464614	26728	367	30888895	67890	136	14	3	26728	0.714309537	13364	0.494759268	Unknown Library	340	15597	0	12664	6	7	4	0.000634	40518410	All Reads	100	22099	31534	31.048675	0.253903	0.065112	0.447873	1.355831	3.272725	0.033538	NA	NA	NA	FIRST_OF_PAIR	22099	22099	1	0	15810	0.715417	2300664	13144	1917091	1862662	0	0.009095	0.004079	0.001045	146	15597	0.986528	0	0.491588	0.069521	9.10E-05	NA	NA	NA	44198	12324	1500	46	3.4	0.97	190826_M00146_0089_000000000-D4FL7	PROJECT_ZED	PROJECT_ZED_0026_Cf_U_PE_318_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_5045	BSgenome.Hsapiens.UCSC.hg19	199245	2176792	2164071	2.216007236	0.380290303	591650798	592024269	28617896	0.914003014	0.255813117	2.42450758	1.486594227	29871	242	30880614	76171	127	14	0	29871	0.67709544	14935	0.443863618	Unknown Library	416	17305	0	14330	11	6	3	0.000657	49887433	All Reads	100	24678	35026	32.962254	0.236682	0.042986	0.402896	1.380315	3.49177	0.060384	NA	NA	NA	FIRST_OF_PAIR	24678	24678	1	0	17539	0.710714	2552021	14583	2127018	2064605	0	0.008995	0.004136	0.001033	146	17305	0.986658	0	0.504191	0.071806	8.10E-05	NA	NA	NA	49356	13914	1624	32	3.3	0.98	190826_M00146_0089_000000000-D4FL7	PROJECT_ZED	PROJECT_ZED_0027_Cf_U_PE_309_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4623	BSgenome.Hsapiens.UCSC.hg19	285190	2911955	2909692	2.517135791	0.381355718	591650798	592024269	28617896	0.914003014	0.255813117	2.753968807	1.490759044	37641	145	30858333	98452	75	3	0	37641	0.610818161	18820	0.348686599	Unknown Library	766	21307	0	13732	9	5	4	0.000438	226901803	All Reads	100	28556	43380	48.8264	0.191401	0.044173	0.169356	1.465319	5.028989	0.073133	NA	NA	NA	FIRST_OF_PAIR	28556	28556	1	0	21808	0.763692	3174767	18561	2707601	2616326	0	0.008358	0.004369	0.000946	146	21307	0.977027	0	0.503531	0.070968	0	NA	NA	NA	57112	12966	1592	38	2.8	0.976	190826_M00146_0089_000000000-D4FL7	PROJECT_ZED	PROJECT_ZED_0022_Cf_U_PE_310_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4509	BSgenome.Hsapiens.UCSC.hg19	167290	1810606	1792971	2.214883557	0.389217038	591650798	592024269	28617896	0.914003014	0.255813117	2.423278176	1.521489759	25093	240	30893455	63330	161	7	0	25093	0.657715281	12546	0.422720883	Unknown Library	376	14480	0	9986	4	5	2	0.000477	34930587	All Reads	100	19661	29336	30.301976	0.226805	0.069982	0.447615	1.34776	3.354842	0	NA	NA	NA	FIRST_OF_PAIR	19661	19661	1	0	14696	0.74747	2138331	12042	1756496	1700318	0	0.009153	0.004438	0.001071	146	14480	0.985302	0	0.502654	0.06818	0	NA	NA	NA	39322	9610	1070	12	2.7	0.988	190826_M00146_0089_000000000-D4FL7	PROJECT_ZED	PROJECT_ZED_0018_Cf_U_PE_312_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4042_98473-1	BSgenome.Hsapiens.UCSC.hg19	200059	2123655	2134578	2.245507755	0.39319287	591650798	592024269	28617896	0.914003014	0.255813117	2.456783753	1.537031702	29599	253	30882728	74057	184	18	6	29599	0.740353499	14799	0.542541549	Unknown Library	459	16880	0	9053	7	5	4	0.000497	142394062	All Reads	100	21636	34219	30.683793	0.294835	0.076001	0.455059	1.353628	3.219098	0.06181	NA	NA	NA	FIRST_OF_PAIR	21636	21636	1	0	17154	0.792845	2496387	14166	2066349	1995328	0	0.009436	0.004363	0.001023	146	16880	0.984027	0	0.503498	0.062926	0	NA	NA	NA	43272	8594	944	8	2.2	0.991	190826_M00146_0089_000000000-D4FL7	PROJECT_ZED	PROJECT_ZED_0059_Cf_U_PE_321_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4737	BSgenome.Hsapiens.UCSC.hg19	261832	2865013	2871870	2.207073184	0.377517717	591650798	592024269	28617896	0.914003014	0.255813117	2.414732939	1.475755902	39413	362	30855787	100998	156	18	3	39413	0.695421217	19706	0.46932826	Unknown Library	482	22453	0	11560	7	6	1	0.000419	50401746	All Reads	100	28474	45388	33.654716	0.207349	0.063326	0.395095	1.367521	3.693914	0.069895	NA	NA	NA	FIRST_OF_PAIR	28474	28474	1	0	22744	0.798764	3310073	18999	2771198	2687283	0	0.008728	0.004169	0.001015	146	22453	0.987205	0	0.499692	0.069481	7.00E-05	NA	NA	NA	56948	11078	1229	34	2.2	0.973	190826_M00146_0089_000000000-D4FL7	PROJECT_ZED	PROJECT_ZED_0025_Cf_U_PE_319_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_5844	BSgenome.Hsapiens.UCSC.hg19	206641	2120966	2133805	2.40090561	0.392979113	591650798	592024269	28617896	0.914003014	0.255813117	2.626802727	1.536196102	28594	191	30883407	73378	129	9	1	28594	0.688351242	14297	0.461382416	Unknown Library	766	15951	0	7626	13	7	2	0.000826	25431743	All Reads	100	20147	32668	38.0583	0.191851	0.067036	0.350984	1.360528	4.209807	0.129482	NA	NA	NA	FIRST_OF_PAIR	20147	20147	1	1	16468	0.817392	2398527	13847	2020074	1946229	0	0.00904	0.004356	0.000939	146	15951	0.968606	0	0.502065	0.06631	5.00E-05	NA	NA	NA	40294	6860	677	14	1.7	0.979	190826_M00146_0089_000000000-D4FL7	PROJECT_ZED	PROJECT_ZED_0014_Cf_U_PE_311_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_5801	BSgenome.Hsapiens.UCSC.hg19	228845	2257221	2268011	2.518658955	0.40615729	591650798	592024269	28617896	0.914003014	0.255813117	2.755635283	1.587710962	30186	192	30879328	77457	114	14	5	30186	0.721608253	15093	0.517635259	Unknown Library	834	16995	0	7900	13	3	0	0.000546	48132672	All Reads	100	21362	34824	39.568892	0.17996	0.027512	0.330022	1.348031	4.55374	0.060731	NA	NA	NA	FIRST_OF_PAIR	21362	21362	1	0	17553	0.821693	2555293	14592	2128557	2049827	0	0.0099	0.004728	0.00103	146	16995	0.968211	0	0.501453	0.069886	4.70E-05	NA	NA	NA	42724	7066	648	10	1.5	0.984	190826_M00146_0089_000000000-D4FL7	PROJECT_ZED	PROJECT_ZED_0013_Cf_U_PE_313_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4623_INPUT	BSgenome.Hsapiens.UCSC.hg19	93280	1371830	1386336	1.648493708	0.27753706	591650798	592024269	28617896	0.914003014	0.255813117	1.803597672	1.084921147	18799	1084	30906337	50448	24	0	0	18799	0.565471587	9399	0.277028081	Unknown Library	644	10634	0	37312	1	1	0	0.000137	56537433	All Reads	100	29612	21912	38.343929	0.02637	0.118677	0.276565	1.575568	2.811419	1.496024	NA	NA	NA	FIRST_OF_PAIR	29612	29612	1	0	11090	0.37451	1613639	9662	1409075	1363642	0	0.008205	0.004386	0.001076	146	10634	0.958882	0	0.502615	0.085188	0.002026	NA	NA	NA	59224	36668	461	396	1.4	0.537	190826_M00146_0089_000000000-D4FL7	PROJECT_ZED	PROJECT_ZED_0022_Cf_U_PE_316_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4509_INPUT	BSgenome.Hsapiens.UCSC.hg19	104514	2084534	2083349	1.044372699	0.240836561	591650798	592024269	28617896	0.914003014	0.255813117	1.142635947	0.941455089	33247	5145	30869908	86877	44	2	0	33247	0.576791077	16623	0.307288718	Unknown Library	401	19050	0	21753	5	2	0	0.000234	90719274	All Reads	100	30127	38501	4.304449	0.072534	0.394622	0.938847	1.059865	1.120954	1.236042	NA	NA	NA	FIRST_OF_PAIR	30127	30127	1	0	19309	0.64092	2808182	16826	2453800	2397355	0	0.007401	0.0037	0.001167	146	19050	0.986587	0	0.503548	0.073363	0.000697	NA	NA	NA	60254	21352	418	390	1.3	0.517	190826_M00146_0089_000000000-D4FL7	PROJECT_ZED	PROJECT_ZED_0018_Cf_U_PE_320_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4534-B_INPUT	BSgenome.Hsapiens.UCSC.hg19	77708	1489756	1491560	1.112018061	0.244378925	591650798	592024269	28617896	0.914003014	0.255813117	1.216645945	0.95530256	23216	3225	30895406	61379	38	0	0	23216	0.575975409	11608	0.303863111	Unknown Library	303	13803	0	36323	4	0	0	0.000143	NA	All Reads	100	32116	27909	9.504637	0.082466	0.137313	0.846664	1.143372	1.278796	1.060895	NA	NA	NA	FIRST_OF_PAIR	32116	32116	1	0	13984	0.435422	2032283	11971	1745467	1700915	0	0.008274	0.00432	0.001365	146	13803	0.987057	0	0.503933	0.094367	0.001245	NA	NA	NA	64232	36020	456	432	1.3	0.513	190826_M00146_0089_000000000-D4FL7	PROJECT_ZED	PROJECT_ZED_0019_Cf_U_PE_326_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4663	BSgenome.Hsapiens.UCSC.hg19	216630	2343830	2348354	2.227348962	0.382788835	591650798	592024269	28617896	0.914003014	0.255813117	2.43691643	1.496361248	32312	281	30875152	81633	175	18	2	32312	0.703240057	16156	0.485512647	Unknown Library	410	17759	0	7188	10	3	1	0.000445	78830721	All Reads	100	21558	35928	32.620719	0.211427	0.076189	0.419565	1.341812	3.696671	0.058865	NA	NA	NA	FIRST_OF_PAIR	21558	21558	1	0	18016	0.835699	2624576	15280	2229135	2160289	0	0.007925	0.003821	0.000764	146	17759	0.985735	0	0.498723	0.051693	0	NA	NA	NA	43116	6778	554	12	1.3	0.978	190826_M00146_0089_000000000-D4FL7	PROJECT_ZED	PROJECT_ZED_0023_Cf_U_PE_308_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4743_INPUT	BSgenome.Hsapiens.UCSC.hg19	90855	1813190	1818557	1.043359329	0.239934958	591650798	592024269	28617896	0.914003014	0.255813117	1.14152723	0.937930631	28930	4459	30880614	76171	43	2	0	28930	0.579399453	14465	0.305487819	Unknown Library	342	16664	0	34482	5	1	0	0.000208	138838893	All Reads	100	34076	33670	3.757911	0.094573	0.475597	0.935401	1.06318	1.121084	0.722343	NA	NA	NA	FIRST_OF_PAIR	34076	34076	1	0	16865	0.494923	2453006	14759	2152276	2097909	0	0.007434	0.003776	0.00114	146	16664	0.988082	0	0.501156	0.076496	0.001438	NA	NA	NA	68152	34140	462	444	1.3	0.509	190826_M00146_0089_000000000-D4FL7	PROJECT_ZED	PROJECT_ZED_0026_Cf_U_PE_320_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_5906	BSgenome.Hsapiens.UCSC.hg19	202769	2026263	2027829	2.473839238	0.404486938	591650798	592024269	28617896	0.914003014	0.255813117	2.706598555	1.581181382	27231	180	30887569	69216	145	12	6	27231	0.750351636	13615	0.549884833	Unknown Library	527	15358	0	6481	13	6	2	8.00E-04	29470723	All Reads	100	18862	31243	37.995001	0.234791	0.017523	0.360776	1.325875	4.460733	0.067692	NA	NA	NA	FIRST_OF_PAIR	18862	18862	1	0	15713	0.833051	2287537	12921	1884680	1817570	0	0.009909	0.004665	0.000987	146	15358	0.977407	0	0.50035	0.065153	0	NA	NA	NA	37724	5954	514	2	1.3	0.996	190826_M00146_0089_000000000-D4FL7	PROJECT_ZED	PROJECT_ZED_0016_Cf_U_PE_306_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_5910	BSgenome.Hsapiens.UCSC.hg19	217889	2214619	2185987	2.453344137	0.399728895	591650798	592024269	28617896	0.914003014	0.255813117	2.684175105	1.562581699	29506	168	30881598	75187	144	10	0	29506	0.661516079	14753	0.422407072	Unknown Library	507	16533	0	6123	6	2	1	0.000298	136648001	All Reads	100	19848	33573	38.639065	0.184383	0.03669	0.337787	1.349056	4.460027	0.220479	NA	NA	NA	FIRST_OF_PAIR	19848	19848	1	0	16861	0.849506	2454615	13957	2035903	1969031	0	0.009045	0.004471	0.000968	146	16533	0.980547	0	0.503114	0.06445	0	NA	NA	NA	39696	5616	534	8	1.3	0.985	190826_M00146_0089_000000000-D4FL7	PROJECT_ZED	PROJECT_ZED_0017_Cf_U_PE_304_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4042_99007	BSgenome.Hsapiens.UCSC.hg19	210881	2130693	2144699	2.363861694	0.41168554	591650798	592024269	28617896	0.914003014	0.255813117	2.586273412	1.609321465	29638	148	30883441	73344	239	28	9	29638	0.824176428	14819	0.677751851	Unknown Library	469	17010	0	7445	3	11	0	0.000725	13146152	All Reads	100	20967	34489	32.244424	0.287243	0.055559	0.45286	1.32867	3.490698	0.061323	NA	NA	NA	FIRST_OF_PAIR	20967	20967	1	0	17295	0.824868	2517025	13871	2023158	1957705	0	0.010653	0.004577	0.001091	146	17010	0.983521	0	0.503672	0.067114	4.80E-05	NA	NA	NA	41934	6976	530	4	1.2	0.992	190826_M00146_0089_000000000-D4FL7	PROJECT_ZED	PROJECT_ZED_0060_Cf_U_PE_315_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4536	BSgenome.Hsapiens.UCSC.hg19	160746	1675533	1648834	2.306369541	0.405528644	591650798	592024269	28617896	0.914003014	0.255813117	2.52337192	1.58525352	23155	166	30899405	57380	143	10	0	23155	0.692306482	11577	0.458653339	Unknown Library	452	13525	0	8022	5	0	0	0.000182	NA	All Reads	100	17762	27502	30.385954	0.27399	0.079626	0.456392	1.333691	3.401216	0.0769	NA	NA	NA	FIRST_OF_PAIR	17762	17762	1	0	13813	0.777671	2007212	10873	1585466	1532588	0	0.011027	0.004723	0.001407	146	13525	0.97915	0	0.503439	0.085563	0	NA	NA	NA	35524	7570	451	10	1.2	0.978	190826_M00146_0089_000000000-D4FL7	PROJECT_ZED	PROJECT_ZED_0020_Cf_U_PE_314_CM	XYZ	Blood	Medip
