samples	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q	MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	BAMQC_TOTALREADS	BAMQC_PAIREDREADS	BAMQC_PROPPAIREDREADS	BAMQC_UNMAPREADS	BAMQC_MATEUNMAPREADS	BAMQC_SECONDARYREADS	BAMQC_QUALFAILREADS	BAMQC_READSPERSTARTPOINT	BAMQC_AVGREADLENGTH	BAMQC_INSERTMEAN	BAMQC_INSERTSD	BAMQC_SOFTCLIPBASES	BAMQC_HARDCLIPBASES	BAMQC_MISMATCHBASES	Gender	Tumor_Fraction	Ploidy	Subclone_Fraction	Fraction_Genome_Subclonal	Fraction_CNA_Subclonal	ChrY_coverage_fraction	ChrX_median_log_ratio	centre	proj_name	sample_type	tissue_type	run	proj_id	miso_id
Chro8-040-T	168840	2486267	154161	219530	159416	31967	186	0.043442	96406851	2897310462	0.075272	0.524346	0	0	0.163486	0.010666	0.001252	0.036517	0.180441	0.004005	0.396367	0.069972	6.1e-05	3.7e-05	2.8e-05	2.2e-05	1.8e-05	1.4e-05	9e-06	7e-06	6e-06	5e-06	5e-06	4e-06	4e-06	0.00685	0	104	25	2	225654526	109.889709	40.964955	2221033	FR	11	19	29	39	51	63	77	97	131	317	5515065	4131532	3819078	219530	7636	154161	1009842	1.07113153601987	74.9926480056308	113.303352847259	55.2230230238054	15005991	0	1603602	female	0.3299	2.732	0.482	0.3265	0.4174	0.0002844	-0.2599	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0031_Co_P_PE_284_WG
Chro8-043-T	113387	2094621	156937	141543	103380	21024	159	0.0338	104423399	2897310462	0.070342	0.434714	0	0	0.160363	0.009125	0.001676	0.039423	0.116754	0.003442	0.330782	0.065168	5.2e-05	2.6e-05	1.8e-05	1.3e-05	9e-06	8e-06	6e-06	5e-06	4e-06	3e-06	3e-06	3e-06	2e-06	0.004358	0	123	34	2	243199455	132.75156	56.009867	1730809	FR	13	27	41	55	69	85	103	129	181	445	4601109	3473553	2954230	141543	8395	156937	829076	1.04099795250001	74.9982078868525	140.641622340426	90.2256989533655	12723711	0	1226225	female	0.5626	2.5	0.5962	0.4915	0.5746	0.0001774	-0.3674	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0032_Fa_P_PE_324_WG
Chro8-044-T	70191	2043973	61823	89131	61959	22406	261	0.025678	93622305	2897310462	0.079261	0.458929	0	0	0.09901	0.009847	0.001513	0.031191	0.09624	0.003471	0.241271	0.074521	5.4e-05	3.2e-05	1.9e-05	1.3e-05	1.1e-05	9e-06	7e-06	6e-06	5e-06	4e-06	4e-06	3e-06	3e-06	0.003585	0	149	44	2	246219733	163.222499	72.456671	1888193	FR	17	35	53	71	89	109	133	165	233	497	4309091	3647440	3439401	89131	7143	61823	510697	1.02706484315847	74.9836117934771	164.675362318841	70.6944771755871	5382377	0	953953	female	0.4793	2.312	0.3583	0.3763	0.4296	0.0002174	-0.6316	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0033_Ov_P_PE_350_WG
Chro8-046-T	76079	2714512	119278	96365	67272	33346	276	0.024335	110479511	2897310462	0.087182	0.539832	0	0	0.150398	0.009977	0.001141	0.037243	0.151758	0.004762	0.35528	0.080492	6.8e-05	4.4e-05	3.3e-05	2.6e-05	2e-05	1.6e-05	1.2e-05	9e-06	7e-06	6e-06	5e-06	5e-06	4e-06	0.006648	0	114	30	2	245402719	122.547039	49.575857	2425449	FR	13	23	35	47	61	75	91	115	159	381	5720746	4487108	4134740	96365	6962	119278	1017995	1.05336590152552	74.9895366904474	129.886330935252	73.1110782658486	12048036	0	1558557	female	0.7505	2.703	0.2229	0.345	0.3864	0.0002995	0.08771	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0034_Co_P_PE_310_WG
Chro8-049-T	72099	2172964	58803	90983	63706	24372	239	0.025453	97081021	2897310462	0.083426	0.4909	0	0	0.100713	0.009831	0.001461	0.031701	0.100629	0.004217	0.248552	0.078077	5.9e-05	3.8e-05	2.9e-05	2.2e-05	1.8e-05	1.5e-05	1e-05	7e-06	5e-06	5e-06	4e-06	4e-06	3e-06	0.003947	0	147	43	2	232634243	160.688196	71.221981	2024913	FR	17	35	51	69	87	107	131	163	229	487	4567813	3865708	3677980	90983	7044	58803	552319	1.02835588385988	74.9835670464505	159.349619978284	71.0620717976378	5848843	0	1086085	female	0.3809	1.816	0.9785	0.1476	0.3265	0.0002569	0.1956	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0035_Om_P_PE_341_WG
Chro8-051-T	100524	2094810	76910	127592	93139	27280	198	0.034428	80302412	2897310462	0.0665	0.517341	0	0	0.16515	0.010514	0.001223	0.035732	0.148623	0.006974	0.368217	0.062	6.5e-05	4e-05	3e-05	2.3e-05	1.9e-05	1.5e-05	1e-05	8e-06	7e-06	6e-06	5e-06	5e-06	4e-06	0.004811	0	115	31	2	233741248	124.110962	51.629202	1873671	FR	13	25	37	51	63	79	95	119	165	391	4494646	3425200	3185002	127592	6514	76910	864944	1.05736121435432	74.9829426018919	129.44854368932	75.0653745680671	10044034	0	1086085	female	0.139	1.977	0.6559	0.3088	0.4131	0.0003212	-0.1576	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0036_Ap_P_PE_316_WG
Chro8-053-T	93519	3109111	51177	118973	83016	34296	359	0.02402	141348318	2897310462	0.118612	0.569245	0	0	0.093176	0.00973	0.001271	0.032149	0.115311	0.003449	0.255086	0.1092	6.9e-05	4.6e-05	3.6e-05	2.8e-05	2.3e-05	1.9e-05	1.3e-05	9e-06	7e-06	6e-06	5e-06	5e-06	5e-06	0.006804	0	141	41	2	228056127	153.495447	66.76449	2961698	FR	17	33	49	65	83	101	123	151	213	455	6481891	5584110	5420766	118973	8693	51177	727631	1.03173902833302	74.992854725283	156.661191749427	67.8703446365602	7183176	0	1526525	female	0.184	2.133	0.5962	0.3389	0.4977	0.0002001	-0.2545	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0037_Fa_P_PE_326_WG
Chro8-055-T	122870	2059953	100543	156068	115770	28863	222	0.040892	73375082	2897310462	0.062056	0.514631	0	0	0.177738	0.011298	0.001138	0.039781	0.164251	0.005939	0.400145	0.057811	6.3e-05	4e-05	3e-05	2.3e-05	1.8e-05	1.4e-05	1e-05	9e-06	7e-06	6e-06	6e-06	5e-06	4e-06	0.005128	0	107	27	2	244893579	114.292973	43.976873	1837759	FR	11	21	31	43	55	67	83	103	141	333	4499387	3332762	3084578	156068	5786	100543	910014	1.0660748506893	74.9902558298492	117.330046022354	52.836444677809	11373362	0	1154153	female	0.5544	2.62	0.5992	0.1804	0.2555	0.0002892	-0.03069	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0038_Ov_P_PE_295_WG
Chro8-058-T	172091	2646551	181974	216585	162756	38168	219	0.043748	91385298	2897310462	0.072564	0.502518	0	0	0.197407	0.011886	0.00111	0.046727	0.18369	0.00506	0.44588	0.066856	6.1e-05	3.8e-05	2.9e-05	2.4e-05	2e-05	1.6e-05	1.2e-05	9e-06	8e-06	6e-06	5e-06	4e-06	3e-06	0.00741	0	97	23	2	233143410	102.799254	37.980783	2329718	FR	9	19	27	37	47	59	73	91	123	299	5863752	4184708	3821421	216585	7119	181974	1280485	1.09152981376178	74.9905369741449	110.545266425246	69.875631477546	19381362	0	1780779	female	0.394	2.41	0.9171	0.2753	0.3814	0.0003517	0.1163	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0039_Ov_P_PE_275_WG
Chro8-059-T	68527	2755439	56274	88087	59755	32388	290	0.02232	117324666	2897310462	0.099048	0.571683	0	0	0.113444	0.010103	0.001177	0.031274	0.131852	0.004798	0.292648	0.091779	7.4e-05	4.8e-05	3.8e-05	2.9e-05	2.2e-05	1.7e-05	1.2e-05	9e-06	8e-06	7e-06	6e-06	6e-06	5e-06	0.006195	0	129	34	2	232441998	138.948697	55.768668	2596897	FR	13	27	41	53	69	85	103	129	177	393	5723766	4792341	4621347	88087	6958	56274	787064	1.03544460894011	74.9913299157969	143.924544666088	68.9529009242405	6935929	0	1377376	female	0.2985	1.749	0.3467	0.1052	0.1997	0.0002706	-0.1111	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0040_Ov_P_PE_321_WG
Chro8-060-T	71831	2411929	63452	89573	62402	24127	240	0.022603	120939731	2897310462	0.093927	0.490851	0	0	0.096797	0.0089	0.001475	0.035384	0.092249	0.002896	0.237701	0.087792	6e-05	3.9e-05	2.9e-05	2.1e-05	1.5e-05	1.1e-05	8e-06	6e-06	5e-06	5e-06	4e-06	4e-06	3e-06	0.004281	0	154	47	2	234483378	167.158869	74.241378	2247404	FR	19	37	57	75	95	117	141	173	237	485	5048714	4309165	4091130	89573	7756	63452	586524	1.02646775849082	74.9850144981684	169.626447876448	73.3561447482384	5834829	0	1143142	female	0.1072	2.02	0.6006	0.251	0.5118	0.0002336	-0.1215	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0041_Ov_P_PE_362_WG
Chro8-061-T	147947	2164754	107930	183057	140207	30248	193	0.044825	77222635	2897310462	0.063982	0.53284	0	0	0.190543	0.011056	0.001156	0.044373	0.159286	0.005857	0.41227	0.059127	7e-05	4.5e-05	3.4e-05	2.8e-05	2.4e-05	2.1e-05	1.6e-05	1.2e-05	9e-06	7e-06	6e-06	5e-06	4e-06	0.005298	0	107	27	2	244618563	113.988145	44.028137	1909383	FR	11	21	31	43	55	67	83	103	141	341	4768442	3445761	3172698	183057	6158	107930	1031694	1.06498268587186	74.9930566861718	117.88772362739	56.9603234622183	11198187	0	1421420	female	0.2673	2.025	0.5662	0.3924	0.4263	0.000353	-0.334	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0042_Fa_P_PE_291_WG
Chro8-062-T	91899	1740496	43420	116621	84814	21286	189	0.035653	71198318	2897310462	0.061093	0.469179	0	0	0.131802	0.010266	0.001449	0.035214	0.131229	0.004553	0.314514	0.057285	5.5e-05	3.3e-05	2.4e-05	1.9e-05	1.6e-05	1.4e-05	1.1e-05	9e-06	6e-06	5e-06	4e-06	4e-06	3e-06	0.003693	0	127	34	2	242526268	137.268857	56.540057	1610885	FR	15	27	41	55	69	85	105	129	181	401	3732932	2996542	2855647	116621	6154	43420	576349	1.03964762447327	74.9862591613934	138.958791208791	57.8186555378898	5333328	0	918918	female	0.4722	2.267	0.9855	0.3612	0.4159	0.0002735	-0.5931	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0043_Pm_P_PE_319_WG
Chro8-065-T	63275	1895884	30334	83847	56205	19721	187	0.024811	91351936	2897310462	0.073322	0.436062	0	0	0.096448	0.009432	0.001377	0.032347	0.103154	0.003177	0.245933	0.069196	5.2e-05	3.1e-05	2.1e-05	1.5e-05	1e-05	8e-06	6e-06	5e-06	4e-06	4e-06	3e-06	3e-06	2e-06	0.003442	0	147	43	2	228877098	160.063272	69.741371	1799490	FR	17	33	51	69	87	107	129	159	223	471	3969224	3394850	3285238	83847	5857	30334	460193	1.02804865566435	74.9898596403376	162.61265060241	71.8098473561367	3964961	0	916916	female	0.5434	2.345	0.5123	0.3612	0.5976	0.0002197	-0.2789	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0045_Pm_P_PE_344_WG
Chro8-067-T	182912	2819563	119684	230264	173077	37555	312	0.042629	105765147	2897310462	0.089273	0.553905	0	0	0.152472	0.011392	0.001206	0.030775	0.175717	0.004575	0.376136	0.082458	6.3e-05	4.1e-05	3.2e-05	2.6e-05	2.2e-05	1.9e-05	1.5e-05	1e-05	8e-06	6e-06	6e-06	5e-06	5e-06	0.0078	0	108	26	2	244366818	115.215129	43.398291	2576329	FR	11	21	31	41	53	65	81	101	139	317	6171986	4755985	4478054	230264	8541	119684	1066053	1.06294769232707	74.9963099126679	117.316923076923	49.5237649621578	13226213	0	1516515	female	0.8788	2.638	0.1394	0.2602	0.306	0.0002896	-0.03433	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0046_Fa_P_PE_287_WG
Chro8-068-T	133298	3940752	85288	168864	118292	41893	496	0.025213	186205312	2897310462	0.150637	0.628565	0	0	0.096953	0.009428	0.001458	0.030921	0.109115	0.003583	0.251458	0.136517	7.9e-05	4.9e-05	3.9e-05	3.3e-05	2.9e-05	2.5e-05	1.8e-05	1.4e-05	1e-05	8e-06	6e-06	5e-06	5e-06	0.008855	0	147	47	2	242977341	160.927477	75.2059	3705810	FR	19	37	55	75	95	117	141	173	239	501	8268954	7062714	6766468	168864	13171	85288	952088	1.03651322330858	74.9930019819576	164.850662739323	80.2915550373256	11893882	0	1710709	female	0.7379	2.002	0.8093	0.03045	0.1975	0.0002429	-0.06649	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0047_Ov_P_PE_344_WG
Chro8-069-T	149691	2675380	163665	188329	139175	34006	231	0.037667	105048987	2897310462	0.082211	0.535955	0	0	0.165835	0.010821	0.00134	0.041194	0.162211	0.005003	0.386404	0.075857	6.4e-05	3.8e-05	2.8e-05	2.2e-05	1.8e-05	1.4e-05	9e-06	7e-06	6e-06	6e-06	5e-06	5e-06	4e-06	0.006957	0	108	27	2	238006723	114.881363	44.254186	2354196	FR	11	21	31	43	55	67	83	103	141	347	5852445	4401502	3999237	188329	8652	163665	1098949	1.06229643747642	74.9982108380276	124.802457002457	85.6438559832123	15048033	0	1660659	female	0.725	1.765	0.2246	0.2884	0.4114	0.0003215	-0.3364	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0048_Ov_P_PE_282_WG
Chro8-070-T	101522	2254311	70595	115394	87085	25650	196	0.030018	99055377	2897310462	0.080517	0.511954	0	0	0.118158	0.01002	0.002497	0.037701	0.126539	0.004779	0.299695	0.075043	5.4e-05	3.6e-05	2.7e-05	2.1e-05	1.8e-05	1.6e-05	1.2e-05	9e-06	7e-06	5e-06	4e-06	4e-06	3e-06	0.004863	0	127	32	2	242904077	136.332057	53.342992	2075863	FR	13	25	39	51	65	81	99	123	171	381	4796133	3936487	3714786	115394	12153	70595	673657	1.03376821870321	74.9894258510189	136.845906902087	56.2958516347602	6926920	0	1800799	female	0.7908	1.84	0.4313	0.214	0.4316	0.000198	-0.2127	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0049_Ov_P_PE_301_WG
Chro8-076-T	106184	2234258	116739	133422	96261	26618	248	0.032679	93884130	2897310462	0.074565	0.524522	0	0	0.159837	0.009953	0.001579	0.042819	0.117954	0.005706	0.337848	0.069295	6.1e-05	3.9e-05	3e-05	2.4e-05	1.9e-05	1.6e-05	1.1e-05	8e-06	6e-06	5e-06	5e-06	4e-06	4e-06	0.004465	0	125	33	2	235779119	134.011152	54.428523	1930501	FR	13	27	39	53	67	83	101	127	175	415	4824861	3684476	3290215	133422	7842	116739	890224	1.03831695978053	74.9837968818361	136.987132352941	61.1059166137615	8967959	0	1357356	female	0.2914	2.322	0.7569	0.3296	0.4423	0.0003159	-0.2807	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0050_Ln_P_PE_314_WG
Chro8-077-T	105193	2229094	159115	138491	96390	26935	189	0.032927	92129564	2897310462	0.064355	0.500321	0	0	0.209698	0.009813	0.001299	0.059321	0.130161	0.005675	0.415966	0.058407	6.1e-05	3.2e-05	2.2e-05	1.7e-05	1.4e-05	1.2e-05	9e-06	7e-06	6e-06	5e-06	5e-06	4e-06	4e-06	0.005031	0	110	28	2	242475660	117.685461	46.754098	1837165	FR	11	23	33	45	57	71	87	109	151	391	4860987	3411004	2926983	138491	6632	159115	1152377	1.05473616768901	74.9868733663168	121.731109598366	52.2100328919209	13848835	0	1414413	female	0.8577	1.873	0.6553	0.118	0.2292	0.0003195	-0.03358	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0051_Ms_P_PE_293_WG
Chro8-080-T	22902	2021765	95514	31576	15526	24053	173	0.015648	84895031	2897310462	0.064264	0.474115	0	0	0.145049	0.009916	0.001358	0.041529	0.152102	0.005569	0.355523	0.060204	5.8e-05	3.4e-05	2.3e-05	1.6e-05	1.3e-05	1e-05	8e-06	7e-06	6e-06	5e-06	4e-06	4e-06	3e-06	0.004706	0	114	30	2	238461452	122.207005	48.710103	1809749	FR	13	23	35	47	61	75	91	115	157	365	4193522	3338590	3081419	31576	5815	95514	727842	1.05490944008978	74.9942715337912	129.695061728395	80.3812035046008	9849840	0	1276275	female	0.6038	1.821	0.6392	0.09291	0.2422	0.0003314	0.05817	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0052_Ov_P_PE_316_WG
Chro8-081-T	28068	2404263	60524	37682	19689	27405	252	0.015403	105617594	2897310462	0.084123	0.52183	0	0	0.117477	0.009729	0.001349	0.035344	0.13406	0.00323	0.301188	0.077496	8e-05	4.1e-05	3.3e-05	2.8e-05	2.4e-05	2.1e-05	1.6e-05	1.2e-05	9e-06	6e-06	5e-06	4e-06	4e-06	0.00546	0	127	36	2	239549360	137.328833	57.595937	2236224	FR	15	29	43	57	73	89	109	135	185	399	4934800	4128125	3939836	37682	6735	60524	708469	1.04294990327491	74.9999818319455	138.996498249125	62.7646412228875	8113105	0	1252251	female	0.5912	2.045	0.939	0.1338	0.2051	0.0002606	-0.4846	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0053_Pu_P_PE_325_WG
Chro8-082-T	103189	2357131	61130	131207	94146	24454	301	0.029695	114201813	2897310462	0.090255	0.524398	0	0	0.1037	0.009195	0.001417	0.030393	0.104304	0.004904	0.253913	0.08394	5.8e-05	3.6e-05	2.5e-05	2e-05	1.7e-05	1.5e-05	1.3e-05	1e-05	8e-06	6e-06	5e-06	4e-06	3e-06	0.004535	0	147	45	2	244575049	160.594493	73.226602	2198361	FR	19	37	53	73	91	113	135	167	233	497	5009788	4203045	3993625	131207	7674	61130	614406	1.03142538403801	74.9848859576807	161.355359001041	73.2052560683054	7169162	0	1220219	female	0.419	2.512	0.982	0.2637	0.3483	0.0002032	-0.2068	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0054_Ov_P_PE_336_WG
Chro8-083-T	69604	2224736	50389	90570	61414	25922	263	0.025062	95680944	2897310462	0.081994	0.519925	0	0	0.118887	0.009641	0.001368	0.030752	0.10973	0.004442	0.274821	0.076554	6.7e-05	4.4e-05	3.3e-05	2.6e-05	2.1e-05	1.8e-05	1.2e-05	8e-06	7e-06	6e-06	5e-06	4e-06	4e-06	0.004207	0	142	44	2	228403949	155.425931	71.173079	2066804	FR	17	35	53	69	89	109	131	161	229	499	4660035	3852515	3668149	90570	6730	50389	666561	1.03461329504807	74.9870149759313	162.080201906898	84.9806798376473	6358352	0	1114113	female	0.2026	1.903	0.3831	0.2016	0.4967	0.000263	-0.2119	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0055_Pu_P_PE_354_WG
Chro8-084-T	77012	2103853	40065	98766	69102	21883	225	0.026342	101459617	2897310462	0.081033	0.498641	0	0	0.097436	0.00945	0.00142	0.031405	0.105103	0.004032	0.248847	0.075685	5.3e-05	3.3e-05	2.4e-05	1.9e-05	1.7e-05	1.5e-05	1.2e-05	9e-06	6e-06	5e-06	5e-06	4e-06	4e-06	0.003984	0	149	47	2	229681259	163.77956	76.285098	1986267	FR	19	37	57	75	95	117	141	173	245	519	4423549	3767330	3625579	98766	6612	40065	517388	1.03245580859968	74.9887121648488	169.52695269527	79.0354364108007	5590585	0	907907	female	0.7287	2.262	0.2652	0.1396	0.2833	0.000176	-0.2846	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0056_Ov_P_PE_364_WG
Chro8-086-T	42618	2375904	58181	56702	35187	31813	204	0.02061	88483918	2897310462	0.079293	0.535837	0	0	0.12158	0.011375	0.00118	0.031968	0.162472	0.006568	0.335143	0.073519	6.7e-05	4.2e-05	3.1e-05	2.5e-05	2.1e-05	1.8e-05	1.4e-05	1.1e-05	8e-06	6e-06	5e-06	5e-06	4e-06	0.006058	0	116	29	2	240099894	123.863581	46.849994	2214193	FR	11	23	35	47	59	73	89	111	151	321	4909309	4069261	3911664	56702	5988	58181	725165	1.05094173261871	74.9963875504668	127.792645556691	60.0388868455667	8623615	0	1276275	female	0.5847	1.92	0.5605	0.4757	0.5511	0.0002722	-0.2919	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0057_Om_P_PE_302_WG
Chro8-087-T	42898	2203065	99064	56388	34323	24808	187	0.018867	97811739	2897310462	0.071432	0.496815	0	0	0.164495	0.009486	0.001397	0.044452	0.121062	0.005712	0.346604	0.065563	6.5e-05	3.9e-05	2.9e-05	2.3e-05	1.9e-05	1.5e-05	1e-05	8e-06	6e-06	5e-06	4e-06	4e-06	3e-06	0.004611	0	124	35	2	247058866	134.209192	56.933987	1944474	FR	15	27	41	55	71	87	107	133	183	417	4604480	3551291	3235033	56388	6593	99064	897737	1.04372562279688	74.9842874042144	141.582810539523	79.2982931910694	10342332	0	1210209	female	0.6301	2.537	0.3805	0.1276	0.1944	0.0003228	-0.3574	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0058_Ov_P_PE_319_WG
Chro8-088-T	52230	2184953	86319	69210	45311	30319	224	0.023959	78569637	2897310462	0.067604	0.558059	0	0	0.149759	0.01163	0.001132	0.039569	0.169191	0.006753	0.378035	0.062585	6e-05	3.8e-05	2.9e-05	2.3e-05	2e-05	1.7e-05	1.3e-05	1e-05	8e-06	6e-06	6e-06	5e-06	5e-06	0.00562	0	109	27	2	234348991	116.274003	43.931735	1984091	FR	11	21	31	43	55	67	83	103	141	335	4577665	3609680	3391429	69210	5677	86319	812456	1.06173524733269	74.9984624675872	119.818783865141	54.5812941624911	10660650	0	1282281	female	0.632	2.231	0.6606	0.2344	0.376	0.0002398	-0.06925	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0059_Ov_P_PE_293_WG
Chro8-091-T	63331	1653938	50448	84283	57172	18646	178	0.028021	73492606	2897310462	0.058139	0.484644	0	0	0.12709	0.009855	0.001351	0.030898	0.133489	0.003405	0.306088	0.054203	5.5e-05	3.7e-05	2.7e-05	2.1e-05	1.8e-05	1.6e-05	1.3e-05	1.1e-05	1e-05	8e-06	6e-06	5e-06	4e-06	0.003501	0	128	38	2	227836210	139.793866	62.355736	1525577	FR	15	31	45	61	77	93	113	141	199	451	3505938	2844462	2694844	84283	4900	50448	526745	1.04516289993788	74.9836260776203	141.104258443465	69.3067051576531	6599593	0	809809	female	0.6324	2.062	0.9882	0.2336	0.394	0.0002684	-0.0782	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0060_Pm_P_PE_330_WG
Chro8-092-T	212260	1550480	73640	251060	203726	15568	158	0.070886	77467384	2897310462	0.053714	0.371082	0	0	0.176528	0.008984	0.001824	0.0404	0.110797	0.002638	0.341171	0.050776	4.3e-05	2.5e-05	1.7e-05	1.2e-05	9e-06	7e-06	5e-06	4e-06	3e-06	2e-06	2e-06	2e-06	2e-06	0.003	0	130	41	2	236604293	143.09994	67.213767	1359611	FR	17	33	49	65	83	101	123	153	215	485	3637920	2633741	2367719	251060	7430	73640	679479	1.04604398266745	74.9968675735389	144.098199672668	70.3166803018581	7328321	0	888888	female	0.8858	2.824	0.2688	0.06322	0.09535	0.0002359	-1.187	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0061_Ov_P_PE_338_WG
